ID,price1,price2,capacity1,capacity2,energy1,energy2,safety1,safety2,original_choice
542,38000.0,42750.0,400.0,500.0,0.6,0.5,90.0,70.0,1
438,38000.0,33250.0,500.0,500.0,0.7,0.7,90.0,90.0,3
297,33250.0,47500.0,400.0,600.0,0.5,0.7,90.0,70.0,1
453,38000.0,47500.0,400.0,600.0,0.6,0.6,70.0,90.0,2
135,38000.0,38000.0,600.0,500.0,0.8,0.8,70.0,70.0,1
287,33250.0,33250.0,500.0,500.0,0.7,0.6,90.0,80.0,2
284,33250.0,47500.0,500.0,500.0,0.7,0.7,90.0,90.0,3
214,33250.0,47500.0,500.0,600.0,0.6,0.7,80.0,80.0,1
441,38000.0,47500.0,600.0,600.0,0.7,0.5,70.0,70.0,1
208,38000.0,47500.0,600.0,600.0,0.8,0.5,90.0,70.0,2
324,33250.0,42750.0,700.0,400.0,0.5,0.6,80.0,80.0,1
313,33250.0,47500.0,500.0,400.0,0.7,0.7,90.0,80.0,1
288,38000.0,38000.0,600.0,600.0,0.4,0.8,90.0,90.0,1
461,38000.0,38000.0,500.0,400.0,0.7,0.6,90.0,90.0,1
368,33250.0,42750.0,400.0,500.0,0.5,0.5,90.0,70.0,1
423,38000.0,47500.0,400.0,500.0,0.6,0.6,90.0,80.0,1
248,33250.0,42750.0,500.0,400.0,0.6,0.6,80.0,70.0,1
183,38000.0,42750.0,600.0,500.0,0.8,0.5,90.0,90.0,2
369,33250.0,47500.0,600.0,600.0,0.5,0.7,70.0,80.0,1
57,38000.0,47500.0,600.0,500.0,0.8,0.5,70.0,70.0,1
43,38000.0,42750.0,400.0,500.0,0.5,0.8,80.0,80.0,1
345,33250.0,38000.0,500.0,400.0,0.7,0.5,90.0,80.0,1
179,38000.0,38000.0,600.0,400.0,0.8,0.5,90.0,80.0,1
378,38000.0,33250.0,600.0,500.0,0.4,0.7,90.0,90.0,1
448,33250.0,47500.0,700.0,400.0,0.8,0.5,90.0,90.0,2
429,38000.0,47500.0,600.0,400.0,0.7,0.5,70.0,90.0,1
70,38000.0,38000.0,700.0,400.0,0.7,0.7,70.0,80.0,1
239,33250.0,38000.0,500.0,500.0,0.6,0.8,80.0,70.0,1
451,33250.0,42750.0,700.0,400.0,0.8,0.4,90.0,90.0,2
515,33250.0,47500.0,700.0,600.0,0.8,0.6,90.0,80.0,3
108,38000.0,42750.0,500.0,400.0,0.6,0.6,80.0,80.0,2
293,33250.0,42750.0,600.0,400.0,0.5,0.8,70.0,90.0,1
419,33250.0,47500.0,700.0,500.0,0.8,0.7,90.0,90.0,1
344,38000.0,38000.0,700.0,400.0,0.8,0.5,80.0,80.0,1
413,38000.0,38000.0,600.0,600.0,0.7,0.8,70.0,70.0,1
386,33250.0,42750.0,700.0,700.0,0.4,0.6,80.0,70.0,1
340,33250.0,42750.0,700.0,600.0,0.5,0.8,80.0,90.0,3
180,38000.0,47500.0,700.0,400.0,0.6,0.5,70.0,90.0,2
